lat,lon,pga_475_median,pga_475_84,pga_475_mean,pga_975_median,pga_975_84,pga_975_mean,pga_2475_median,pga_2475_84,pga_2475_mean
47.6,7.5,1.0081,1.5405,1.1711,1.4739,2.2733,1.7491,2.3776,3.5698,2.7694
47.6,7.6,1.0083,1.601,1.1965,1.4894,2.3389,1.7935,2.3998,3.6472,2.8378
47.6,7.7,0.9238,1.517,1.1155,1.3943,2.2397,1.6661,2.2741,3.4216,2.6616
47.6,7.8,0.8082,1.2549,0.9614,1.2282,1.8347,1.4183,2.0074,3.0109,2.2855
47.6,7.9,0.7062,1.0844,0.8117,1.0614,1.5853,1.2067,1.736,2.5196,1.9547
47.6,8,0.6228,0.932,0.7144,0.9473,1.3702,1.0653,1.522,2.2221,1.7056
47.6,8.1,0.5726,0.861,0.656,0.8558,1.2585,0.9833,1.3718,2.0081,1.5672
47.6,8.2,0.546,0.8275,0.6269,0.8176,1.2156,0.9416,1.325,1.9398,1.5038
47.6,8.3,0.5264,0.8275,0.6168,0.8084,1.2043,0.9299,1.3073,1.8797,1.4878
47.6,8.4,0.5264,0.8275,0.6166,0.8084,1.2156,0.9335,1.3073,1.9398,1.4988
47.6,8.5,0.5264,0.8357,0.6192,0.8084,1.2436,0.9395,1.3074,2.0067,1.5098
47.6,8.6,0.5264,0.861,0.6252,0.8084,1.2585,0.9473,1.3073,2.0069,1.5183
47.6,8.7,0.549,0.8715,0.638,0.833,1.2886,0.9662,1.3383,2.0658,1.5514
47.6,8.8,0.564,0.8957,0.6492,0.8411,1.3117,0.9819,1.3512,2.0996,1.5746
47.6,8.9,0.5726,0.8958,0.6602,0.8649,1.3211,0.9966,1.3635,2.1313,1.5915
47.6,9,0.5794,0.8958,0.6668,0.8751,1.3211,1.0019,1.3755,2.1265,1.587
47.6,9.1,0.5855,0.8958,0.6669,0.8751,1.3028,0.9992,1.3755,2.0683,1.5749
47.6,9.2,0.5855,0.8842,0.6608,0.8751,1.2728,0.9871,1.3566,2.0069,1.5481
47.6,9.3,0.5641,0.8517,0.64,0.8412,1.2305,0.9544,1.3329,1.9413,1.4948
47.6,9.4,0.5433,0.8138,0.6142,0.8084,1.1742,0.9143,1.2772,1.8737,1.4349
47.6,9.5,0.5234,0.7645,0.5816,0.7689,1.1273,0.8644,1.2025,1.7595,1.3613
47.6,9.6,0.485,0.7312,0.5453,0.716,1.054,0.8078,1.1321,1.6281,1.2738
47.6,9.7,0.4483,0.68,0.5147,0.6651,0.9871,0.7595,1.0659,1.5266,1.1955
47.6,9.8,0.431,0.6496,0.4909,0.6251,0.9525,0.7229,1.0035,1.4651,1.1347
47.6,9.9,0.42,0.631,0.4746,0.6044,0.9191,0.6995,0.9409,1.4197,1.0963
47.6,10,0.42,0.631,0.4673,0.6044,0.9191,0.6901,0.9408,1.4196,1.0855
47.6,10.1,0.4144,0.631,0.4673,0.6043,0.9191,0.6922,0.9408,1.4196,1.0913
47.6,10.2,0.4253,0.6524,0.4793,0.6213,0.9524,0.7137,0.9718,1.4649,1.1292
47.6,10.3,0.431,0.6775,0.4962,0.6407,0.987,0.7414,1.0328,1.5419,1.177
47.6,10.4,0.4483,0.7062,0.5175,0.6893,1.0553,0.7757,1.066,1.6471,1.2316
47.6,10.5,0.4837,0.7348,0.5429,0.742,1.0908,0.8161,1.1629,1.7024,1.2943
47.6,10.6,0.5264,0.7852,0.5684,0.7968,1.1274,0.8555,1.2283,1.7596,1.3537
47.6,10.7,0.564,0.7954,0.5907,0.8258,1.1741,0.8885,1.2643,1.8737,1.401
47.6,10.8,0.5681,0.8138,0.6075,0.8407,1.1842,0.912,1.2895,1.9366,1.4329
47.6,10.9,0.5725,0.8433,0.6161,0.8557,1.2043,0.9224,1.3013,1.8796,1.4453
47.6,11,0.549,0.8276,0.6179,0.8258,1.2043,0.9219,1.2773,1.8796,1.4421
47.6,11.1,0.5433,0.8433,0.6177,0.8084,1.2044,0.9191,1.2772,1.8796,1.4372
47.6,11.2,0.5264,0.8275,0.615,0.7969,1.2043,0.9137,1.2514,1.8796,1.4293
